date,nom_fichier,reseau,statut,ancienne_maj,nouvelle_maj
2026-08-10,Marseille_mamp-rtm.gtfs.zip,Marseille,mis_a_jour,2026-08-09T00:36:20.320026Z,2026-08-09T12:36:37.060677Z
2026-08-17,Albi_libea-reseau-urbain.zip,libéA Mobilités,mis_a_jour,,20261217
2026-08-17,Ales_gtfs-is-20260704.zip,ALES'Y(SMTBA),mis_a_jour,,20260702
2026-08-17,Amiens_gtfs-fusion-20260721-1000.zip,Keolis Amiens,mis_a_jour,,20270112
2026-08-17,Angers_gtfs.zip,IRIGO,mis_a_jour,,20261015
2026-08-17,Avignon_gtfs_20260716_979_OPENDATA.zip,TECELYS SPL,mis_a_jour,,20261015
2026-08-17,BOURGES-GTFS.zip,Agglobus (Bourges),mis_a_jour,,20261217
2026-08-17,Bayonne_txiktxak.zip,TXIK TXAK,mis_a_jour,,20270624
2026-08-17,Besancon-gtfs-ginko_r5py.zip,Ginko,mis_a_jour,,20261015
2026-08-17,Bordeaux.gtfs.zip,TBM,mis_a_jour,,20261112
2026-08-17,Brest_medias.zip,Bibus - TAD Bibus,mis_a_jour,,20261015
2026-08-17,Castres_08012026.zip,Transports publics Libellus,mis_a_jour,,20261217
2026-08-17,Chambery_GTFS.zip,Synchro Bus,mis_a_jour,,20261015
2026-08-17,Chateauroux_gtfs-202601050.zip,HORIZON (CHATEAUROUX),mis_a_jour,,20260702
2026-08-17,Cholet_gtfs.zip,Choletbus,mis_a_jour,,20270701
2026-08-17,Colmar_GTFS.zip,TRACE,mis_a_jour,,20261126
2026-08-17,Cotentin_GTFS.zip,Cap Cotentin,mis_a_jour,,20260702
2026-08-17,Dijon_gtfs-diviamobilites-current.zip,KEOLIS DIJON,mis_a_jour,,20261015
2026-08-17,Douai_GTFS.zip,EVEOLE - TAD EVEOLE,mis_a_jour,,20261217
2026-08-17,Dunkerque_gtfs-20260624-110758-dkbus.zip,DKBUS,mis_a_jour,,20261217
2026-08-17,Gap_GTFS.zip,L'Agglo en bus,mis_a_jour,,20261217
2026-08-17,Grenoble_SEM-GTFS.zip,M Réso - Métropole Grenobloise,mis_a_jour,,20260827
2026-08-17,Laval_pan.zip,TUL,mis_a_jour,,20260827
2026-08-17,Lorient_medias.zip,IZILO,mis_a_jour,,20261015
2026-08-17,Marseille_mamp-rtm.gtfs.zip,Marseille,mis_a_jour,,20261015
2026-08-17,Metz_LEMET-gtfs.zip,LE MET',mis_a_jour,,20260827
2026-08-17,Montauban_gtfs-ete-26.zip,SEMTM,mis_a_jour,,20260827
2026-08-17,Montelimar_GTFS.zip,REGION Auvergne Rhone Alpes - MONTELIBUS,mis_a_jour,,20260630
2026-08-17,Montelimar_gtfs-2026-06-10.zip,REGION Auvergne Rhone Alpes - MONTELIBUS,mis_a_jour,,20260630
2026-08-17,Montpellier_TAM_MMM_GTFS.zip,TAM,mis_a_jour,,20261015
2026-08-17,Mulhouse_SITRAM.GTFS.zip,SOLEA,mis_a_jour,,20270624
2026-08-17,Nancy_LESUB.GTFS.zip,SUB Nancy,mis_a_jour,,20261015
2026-08-17,Nantes_Naolib_gtfs_lumidata_id.zip,Naolib,mis_a_jour,,20260827
2026-08-17,Nice_GTFS.zip,Lignes d'Azur,mis_a_jour,,20260827
2026-08-17,Nice_gtfs.zip,Lignes d'Azur,mis_a_jour,,20260827
2026-08-17,Nimes_gtfs-production.zip,TANGO,mis_a_jour,,20261217
2026-08-17,Orleans_gtfs.zip,TAO (Orléans),mis_a_jour,,20261217
2026-08-17,Pau_GTFS.zip,IDELIS (Pau),mis_a_jour,,20270101
2026-08-17,Perpignan.gtfs.zip,Sankéo,mis_a_jour,,20260827
2026-08-17,Poitiers_gtfs.zip,VITALIS (Grand Poitiers) - FLEX'E-BUS (Grand Poitiers),mis_a_jour,,20261015
2026-08-17,Reims.GTFS.zip,Transdev Reims,mis_a_jour,,20260827
2026-08-17,Rennes_GTFS_STAR_BUS_METRO_EN_COURS.zip,STAR,mis_a_jour,,20260827
2026-08-17,SaintEtienne_STAS.GTFS.zip,SAINT-ETIENNE – STAS,mis_a_jour,,20261015
2026-08-17,Saumur_gtfs_imported-id_saumur.zip,saumuragglobus,mis_a_jour,,20260702
2026-08-17,Strasbourg_google_transit.zip,CTS,mis_a_jour,,20270204
2026-08-17,Toulon_gtfs-complet.zip,Réseau Mistral - Téléphérique Faron,mis_a_jour,,20260827
2026-08-17,Toulouse_tisseo_gtfs_v2_r5py.zip,Tisséo,mis_a_jour,,20260910
2026-08-17,Tours_filbleu_gtfs14.zip,Fil Bleu (Tours),mis_a_jour,,20261217
2026-08-17,Valence_gtfs-citea-20260517-20260628.zip,Valence Romans Mobilités,mis_a_jour,,20260625
2026-08-17,Valenciennes_google-transit.zip,Transvilles - Arc-en-Ciel 2 - Arc-en-Ciel 3 - Arc-en-Ciel 4,mis_a_jour,,20260827
2026-08-17,Vannes_GTFS.zip,Kicéo,mis_a_jour,,20261112
2026-08-22,Albi_libea-reseau-urbain.zip,libéA Mobilités,mis_a_jour,,20261217
2026-08-22,Ales_gtfs-is-20260704.zip,ALES'Y(SMTBA),mis_a_jour,,20261015
2026-08-22,Amiens_gtfs-fusion-20260721-1000.zip,Keolis Amiens,mis_a_jour,,20270112
2026-08-22,Angers_gtfs.zip,IRIGO,mis_a_jour,,20261015
2026-08-22,Avignon_gtfs_20260716_979_OPENDATA.zip,TECELYS SPL,mis_a_jour,,20261015
2026-08-22,BOURGES-GTFS.zip,Agglobus (Bourges),mis_a_jour,,20261217
